2017-10-29 00:00:55.794470|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2017-10-29 00:00:55.798387|WARNING |VirtualServer |1  |--------------------------------------------------------
2017-10-29 00:00:55.798387|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2017-10-29 00:00:55.798387|WARNING |VirtualServer |1  |token=JM9aLornbAe8RGGEbvDBWgxsW+94LNkAim3sIoNd
2017-10-29 00:00:55.798387|WARNING |VirtualServer |1  |--------------------------------------------------------
2017-10-29 00:01:10.355084|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2017-10-29 00:01:10.356037|INFO    |VirtualServer |1  |client 'Radcrazykid2 | 1-L-40'(id:4) used privilege key 'JM9aLornbAe8RGGEbvDBWgxsW+94LNkAim3sIoNd' and was added to servergroup 'Server Admin'(id:6)
2017-10-29 00:03:44.556224|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-1191991982, negated:0, skipchannel:0) was added by 'Radcrazykid2 | 1-L-40'(id:4) to servergroup 'Server Admin'(id:6)
2017-10-29 00:03:51.307186|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was renamed to 'Owner' by 'Radcrazykid2 | 1-L-40'(id:4)
2017-10-29 00:04:12.560112|INFO    |VirtualServer |1  |servergroup 'Owner'(id:6) was copied by 'Radcrazykid2 | 1-L-40'(id:4) to '*Lead Admin*'(id:9)
2017-10-29 00:04:16.212462|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:2, negated:0, skipchannel:0) was added by 'Radcrazykid2 | 1-L-40'(id:4) to servergroup '*Lead Admin*'(id:9)
2017-10-29 00:04:18.397059|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:1, negated:0, skipchannel:0) was added by 'Radcrazykid2 | 1-L-40'(id:4) to servergroup 'Owner'(id:6)
2017-10-29 00:04:24.196865|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:334483102, negated:0, skipchannel:0) was added by 'Radcrazykid2 | 1-L-40'(id:4) to servergroup '*Lead Admin*'(id:9)
2017-10-29 00:04:46.304266|INFO    |VirtualServer |1  |servergroup 'Lead Admin'(id:10) was added by 'Radcrazykid2 | 1-L-40'(id:4)
2017-10-29 00:05:05.270130|INFO    |VirtualServer |1  |servergroup 'Senior Admin'(id:11) was added by 'Radcrazykid2 | 1-L-40'(id:4)
2017-10-29 00:05:13.118708|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:12) was added by 'Radcrazykid2 | 1-L-40'(id:4)
2017-10-29 00:05:17.972198|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:148) with values (value:3, negated:0, skipchannel:0) was added by 'Radcrazykid2 | 1-L-40'(id:4) to servergroup 'Lead Admin'(id:10)
