2018-09-23 23:31:28.750418|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2018-09-23 23:31:59.200733|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 192.168.2.19:61466
2018-09-23 23:31:59.267741|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1483396842' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:31:59.268742|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1529263021' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:01.033136|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2642770149' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.788502|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_562027764' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.795503|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1805427825' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.796503|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_85368941' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.799504|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3201618383' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.799504|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3782301228' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.843515|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2695360418' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.843515|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_475659083' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.844515|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1815735829' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.844515|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_278659660' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.847515|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2866804287' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.937536|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2003727143' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.938535|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3692269475' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:03.942537|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_270108242' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:04.040558|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_463254636' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:32:04.040558|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_446998080' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:39:00.097975|INFO    |VirtualServerBase|1  |client disconnected 'Radcrazykid2 | 1-L-40'(id:4) reason 'reasonmsg=leaving'
2018-09-23 23:39:07.184553|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 192.168.2.19:62898
2018-09-23 23:39:07.246568|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1483396842' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:39:07.247568|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1529263021' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 23:39:07.276586|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2642770149' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-24 04:05:23.384361|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:1913523921) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Server Owner - Radcrazykid2'(id:20)
2018-09-24 04:05:23.385365|INFO    |VirtualServerBase|1  |channel 'Server Owner - Radcrazykid2'(id:20) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-24 04:05:30.043498|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-331665205) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Assistant Director - DiamondBackEV'(id:21)
2018-09-24 04:05:30.044497|INFO    |VirtualServerBase|1  |channel 'Assistant Director - DiamondBackEV'(id:21) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-24 04:05:36.289123|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:2013348012) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Community Director - FAXES'(id:99)
2018-09-24 04:05:36.290124|INFO    |VirtualServerBase|1  |channel 'Community Director - FAXES'(id:99) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-24 04:05:42.877665|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:334483102) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Lead Admin - KevKilo9'(id:101)
2018-09-24 04:05:42.879665|INFO    |VirtualServerBase|1  |channel 'Lead Admin - KevKilo9'(id:101) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-24 04:05:48.232872|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:334483102) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Lead Admin -'(id:100)
